busStop,bus0,bus1,bus2,bus3,leading bus,trailing bus,bus6,bus7,9,,bus0,bus1,bus2,bus3,bus4,bus5,bus6,bus7,,,time ,location 
0,0,0,0,0,0,0,0,0,chelsea,0,69.8,179.7,1868.91,1997.68,3669.81,3798.69,5472.98,5602.86,,,69.8,0
1,61,11,69,1,67,0,66,0,chelsea,0.01,136.08,245.5,1995.89,2049.9,3796.55,3851.8,5600.87,5669.69,,,136.08,0.01
2,61,11,69,1,68,0,68,0,edithvale,1,347.48,406.52,2199.22,2254.11,4023.88,4078.56,5863.88,5932.78,,,347.48,1
3,62,11,70,1,70,0,70,4,edithvale,1.01,404.04,416.13,2251.7,2380.27,4076.56,4206.27,5930.89,6060.19,,,404.04,1.01
4,59,11,70,1,70,0,70,5,haileybury,2,1226.56,1354.63,3423.11,3552.29,5137.96,5267.13,6957.08,7085.28,,,1226.56,2
5,64,11,68,24,70,25,70,25,haileybury,2.01,1352.99,1363.12,3550.47,3604.29,5265.21,5319.54,7083.14,7137.24,,,1352.99,2.01
6,61,10,62,24,69,27,62,27,springvale,3,2191.16,2318.94,4594.91,4723.74,6176.35,6305.27,7920.36,8048.7,,,2191.16,3
7,61,10,64,24,66,28,61,28,springvale,3.01,2317.25,2371.86,4721.93,4776.07,6303.16,6314.45,8046.78,8101.17,,,2317.25,3.01
8,59,10,63,24,65,28,60,27,brandonpark,4,2925.11,3053.73,5300.62,5430.16,6942.93,7072.35,8683.06,8812.54,,,2925.11,4
9,58,9,68,24,66,28,60,26,brandonpark,4.01,3049,3104,5425,5482,7068,7080,8808,8821,,,3049,4.01
10,57,9,63,20,62,27,57,25,glen,5,3876.5,4012.96,6381.97,6513.38,7901.45,8030.69,9747.64,9876.63,,,3876.5,5
11,56,9,60,20,60,26,57,24,glen,5.01,4004.02,4080.05,6507.97,6566.11,8028.61,8040.79,9874.65,9885.74,,,4004.02,5.01
12,53,9,61,19,61,23,59,22,bwdhwy,6,4983.67,5113.02,7217.98,7347.62,8639.34,8768.32,10532.97,10660.89,,,4983.67,6
13,51,9,59,18,62,22,56,22,bwdhwy,6.01,5110.38,5163,7345.51,7400,8764,8774,10657,10668,,,5110.38,6.01
14,47,9,62,13,60,22,58,21,nunawading,7,5912.27,6060.94,8170.89,8299.58,9484.63,9612.43,11462.86,11591.64,,,5912.27,7
15,47,9,63,12,55,22,59,19,nunawading,7.01,6040.02,6187.61,8297.55,8426.46,9610.35,9665.28,11589.66,11645.8,,,6040.02,7.01
16,42,9,61,11,45,19,52,19,,,,,,,,,,,,,,
17,50,9,70,18,60,19,62,15,,Major Stop,Pair 0-1,Pair 2-3,Pair 4-5,Pair 6-7,Major Stop,Pair 0-1,Pair 2-3,Pair 4-5,Pair 6-7,,,
18,52,9,70,18,60,17,61,15,,0,43.62,1.79,2.14,1.99,0,109.9,128.77,128.88,129.88,,,
