0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.30,1998.70,3669.49,3799.84,5469.33,5598.13
1,60,11,64,1,67,1,70,0,chelsea,136.08,245.75,1996.73,2066.13,3798.06,3851.42,5595.82,5664.57
2,58,11,68,1,69,1,70,2,edithvale,301.27,417.96,2172.70,2287.71,3967.27,4084.87,5791.96,5886.83
3,58,10,68,7,69,2,69,5,edithvale,353.11,471.13,2239.10,2413.98,4034.12,4211.94,5845.25,6015.44
4,58,10,68,7,69,5,69,7,haileybury,1120.41,1174.34,3054.57,3226.91,4929.44,5052.44,6770.30,6869.66
5,58,13,70,24,70,18,68,27,haileybury,1172.44,1291.34,3132.16,3353.19,4981.02,5179.61,6867.71,6997.22
6,53,13,69,25,69,22,66,28,springvale,1870.66,1999.69,3765.63,4199.27,5719.29,5924.75,7612.70,7783.36
7,52,13,67,24,68,23,66,28,springvale,1923.12,2126.85,3833.14,4324.97,5786.15,6052.00,7665.32,7850.21
8,50,13,65,26,66,24,63,29,brandonpark,2262.87,2617.97,4272.10,4836.99,6190.98,6610.07,8088.73,8323.82
9,47,12,64,25,64,24,60,30,brandonpark,2357.00,2743.00,4357.92,4963.00,6295.00,6733.00,8138.00,8447.00
10,47,12,62,26,59,27,54,29,glen,3036.95,3608.57,4996.48,5753.62,6892.44,7509.99,8574.43,9175.93
11,46,13,59,26,56,28,52,31,glen,3163.63,3737.14,5122.84,5881.96,6992.97,7628.02,8652.05,9272.01
12,46,13,56,26,55,28,50,31,bwdhwy,3585.01,4400.09,5658.91,6434.80,7442.71,8137.80,8957.80,9787.13
13,44,13,56,29,53,29,50,32,bwdhwy,3710.00,4525.00,5744.00,6561.57,7498.00,8261.00,9031.00,9861.00
14,43,13,52,29,47,29,48,32,nunawading,4307.60,5493.19,6426.80,7279.93,8008.86,8889.49,9446.14,10423.08
15,40,12,50,26,42,29,47,32,nunawading,4433.79,5620.48,6552.45,7406.71,8136.47,9016.65,9563.38,10549.32
16,37,12,43,26,38,28,43,32,,,,,,,,,
17,36,23,44,43,39,42,42,51,,,,,,,,,
18,34,24,43,45,37,41,41,52,,,,,,,,,
19,31,22,42,46,35,40,35,50,,,,,,,,,
20,30,23,42,44,32,37,35,50,,,,,,,,,
21,27,25,41,45,29,36,31,49,,,,,,,,,
22,24,27,39,43,26,35,29,48,,,,,,,,,
23,23,26,39,40,24,35,27,49,,,,,,,,,
24,23,26,38,43,23,34,26,47,,,,,,,,,
25,21,23,37,40,20,37,24,48,,,,,,,,,
26,17,22,33,36,19,35,20,47,,,,,,,,,
27,17,37,33,54,23,50,19,45,,,,,,,,,
28,17,38,33,53,18,47,17,44,,,,,,,,,
29,17,37,31,49,18,45,17,45,,,,,,,,,
30,17,34,28,45,17,45,16,45,,,,,,,,,
31,16,35,26,46,15,43,16,43,,,,,,,,,
32,16,36,26,48,14,45,17,39,,,,,,,,,
33,18,33,26,49,16,43,15,39,,,,,,,,,
34,16,36,26,49,16,43,14,39,,,,,,,,,
35,23,53,30,59,24,55,14,51,,,,,,,,,
36,22,54,28,59,23,54,14,52,,,,,,,,,
37,24,54,28,57,23,53,14,54,,,,,,,,,
38,23,52,30,57,21,46,12,52,,,,,,,,,
39,20,52,28,54,21,43,12,50,,,,,,,,,
40,16,55,27,52,19,37,11,48,,,,,,,,,
41,15,53,30,52,17,36,10,47,,,,,,,,,
42,16,53,31,48,15,36,9,44,,,,,,,,,
43,17,54,33,45,16,37,10,40,,,,,,,,,
44,20,55,30,43,17,37,10,40,,,,,,,,,
45,19,55,28,40,19,37,11,38,,,,,,,,,
46,31,70,47,50,28,42,12,45,,,,,,,,,
47,31,70,47,45,26,40,13,43,,,,,,,,,
48,29,70,46,44,23,41,13,44,,,,,,,,,
49,30,69,43,45,23,40,11,39,,,,,,,,,
50,30,69,39,45,23,39,12,40,,,,,,,,,
51,30,62,36,43,22,36,13,39,,,,,,,,,
52,29,64,37,42,23,36,13,38,,,,,,,,,
53,30,67,38,42,23,35,12,37,,,,,,,,,
54,40,70,69,57,28,47,15,42,,,,,,,,,
55,40,70,70,57,29,46,17,39,,,,,,,,,
56,39,70,70,63,29,44,16,34,,,,,,,,,
57,40,67,69,62,28,44,16,31,,,,,,,,,
58,38,69,68,57,26,43,15,27,,,,,,,,,
59,35,67,65,54,26,40,14,25,,,,,,,,,
60,35,61,59,50,23,32,14,25,,,,,,,,,
61,30,49,54,43,21,28,13,20,,,,,,,,,
62,28,41,47,38,15,23,11,17,,,,,,,,,
