0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.55,1997.42,3669.14,3798.67,5469.42,5598.59
1,61,11,70,3,64,1,68,0,chelsea,136.08,230.66,1995.48,2048.58,3796.78,3851.55,5596.82,5666.03
2,60,11,70,4,63,1,70,2,edithvale,294.98,394.16,2176.56,2245.09,3972.86,4071.30,5815.36,5885.29
3,60,12,70,6,63,5,70,3,edithvale,347.07,445.61,2243.08,2372.79,4026.15,4197.39,5883.32,6012.09
4,60,12,70,6,63,6,68,3,haileybury,1201.68,1280.35,3120.72,3248.65,4973.66,5057.09,6732.67,6832.82
5,58,14,70,27,63,22,68,25,haileybury,1278.45,1377.97,3177.12,3374.30,5025.31,5155.24,6783.08,6939.38
6,55,14,66,27,61,25,62,25,springvale,1909.47,2103.03,3923.84,4243.56,5732.71,5945.36,7459.32,7689.18
7,53,13,65,28,58,27,60,25,springvale,2025.76,2231.13,3974.81,4369.98,5790.32,6071.38,7527.00,7796.49
8,49,13,60,29,58,28,57,26,brandonpark,2479.97,2763.05,4378.65,5047.81,6146.33,6632.56,7948.17,8339.77
9,48,14,58,33,55,28,54,28,brandonpark,2554.00,2887.00,4472.00,5172.00,6231.00,6737.00,8022.00,8433.00
10,46,13,56,34,54,29,51,29,glen,3095.65,3752.06,5145.36,5961.44,6731.81,7574.77,8670.27,9174.65
11,43,11,52,35,48,30,51,29,glen,3191.77,3878.51,5244.82,6088.78,6828.66,7702.12,8776.67,9232.61
12,39,12,51,35,44,30,49,29,bwdhwy,3644.90,4678.85,5654.77,6697.85,7272.57,8126.86,9222.38,9718.83
13,36,12,50,35,42,32,47,31,bwdhwy,3751.00,4803.00,5781.00,6811.00,7397.00,8241.00,9296.00,9793.00
14,32,9,47,35,39,32,45,30,nunawading,4369.98,5816.83,6352.76,7519.67,7895.84,8777.24,9807.18,10332.36
15,30,10,43,36,36,31,43,30,nunawading,4497.94,5942.28,6479.50,7646.84,8023.15,8904.85,9923.34,10449.64
16,28,11,39,36,27,31,42,33,,,,,,,,,
17,31,20,38,53,29,38,39,43,,,,,,,,,
18,28,21,37,51,28,38,38,43,,,,,,,,,
19,27,22,33,48,29,39,34,42,,,,,,,,,
20,26,23,29,48,27,41,32,42,,,,,,,,,
21,25,21,30,45,26,41,32,42,,,,,,,,,
22,23,21,26,44,23,40,32,41,,,,,,,,,
23,21,25,26,45,21,40,32,41,,,,,,,,,
24,19,26,25,45,19,38,30,41,,,,,,,,,
25,16,24,22,43,17,36,27,42,,,,,,,,,
26,16,22,19,46,14,38,26,41,,,,,,,,,
27,27,37,22,57,17,53,26,51,,,,,,,,,
28,27,38,20,57,18,53,24,49,,,,,,,,,
29,28,35,21,56,18,51,24,48,,,,,,,,,
30,26,37,19,53,18,51,24,45,,,,,,,,,
31,24,38,18,53,17,51,22,45,,,,,,,,,
32,24,38,17,47,16,50,20,45,,,,,,,,,
33,24,40,17,46,15,48,23,46,,,,,,,,,
34,23,40,18,48,13,47,25,45,,,,,,,,,
35,24,52,24,63,17,45,30,52,,,,,,,,,
36,23,53,18,61,18,40,27,50,,,,,,,,,
37,23,54,18,58,18,38,27,46,,,,,,,,,
38,23,57,17,59,16,36,23,47,,,,,,,,,
39,23,58,16,57,16,35,24,45,,,,,,,,,
40,23,58,17,56,17,34,23,43,,,,,,,,,
41,25,56,21,51,16,32,21,42,,,,,,,,,
42,24,56,20,47,17,29,19,39,,,,,,,,,
43,22,52,21,46,18,27,18,38,,,,,,,,,
44,21,51,21,48,19,29,17,35,,,,,,,,,
45,21,49,22,45,18,28,15,33,,,,,,,,,
46,30,70,29,56,21,35,25,38,,,,,,,,,
47,28,70,33,51,20,34,25,36,,,,,,,,,
48,24,70,33,50,21,35,25,38,,,,,,,,,
49,22,68,33,50,23,34,22,36,,,,,,,,,
50,21,67,32,49,22,36,20,35,,,,,,,,,
51,23,67,31,45,23,35,19,31,,,,,,,,,
52,23,67,30,44,24,33,20,30,,,,,,,,,
53,21,67,31,43,25,33,18,29,,,,,,,,,
54,31,70,70,48,36,44,23,30,,,,,,,,,
55,31,70,70,48,35,43,19,28,,,,,,,,,
56,31,65,67,48,35,41,19,28,,,,,,,,,
57,30,66,66,47,35,41,18,24,,,,,,,,,
58,32,60,66,49,39,38,16,23,,,,,,,,,
59,33,57,61,46,39,37,14,19,,,,,,,,,
60,34,56,59,46,35,34,15,16,,,,,,,,,
61,30,47,55,39,32,31,14,14,,,,,,,,,
62,25,36,46,32,29,25,11,11,,,,,,,,,
