0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.70,1869.29,1998.71,3669.69,3798.26,5473.77,5603.05
1,63,12,70,2,70,3,62,0,chelsea,136.08,230.86,1996.66,2050.83,3796.40,3851.53,5600.80,5670.77
2,63,12,70,4,69,3,63,0,edithvale,348.02,400.82,2164.47,2232.67,3972.05,4066.45,5806.70,5902.99
3,61,12,70,4,69,6,62,2,edithvale,398.89,453.02,2217.05,2358.25,4040.29,4192.66,5857.89,6031.26
4,60,14,70,5,69,7,61,5,haileybury,1269.81,1323.16,3110.75,3242.76,4951.60,5156.43,6759.42,6869.40
5,60,15,70,33,70,21,62,24,haileybury,1321.17,1410.22,3167.43,3369.15,5027.39,5284.15,6867.07,6997.52
6,59,15,68,32,64,22,56,25,springvale,2029.97,2149.21,3910.73,4203.60,5804.51,6058.13,7555.82,7832.64
7,56,15,65,32,63,26,56,27,springvale,2147.21,2235.16,3962.72,4331.60,5871.26,6184.95,7641.75,7959.46
8,54,16,63,33,61,27,53,30,brandonpark,2539.86,2794.46,4404.27,4887.35,6361.63,6710.27,8042.36,8461.66
9,51,16,60,36,59,30,53,31,brandonpark,2655.00,2919.00,4469.00,5013.00,6437.00,6814.00,8156.00,8536.00
10,47,16,59,34,56,33,54,33,glen,3346.34,3769.21,5144.49,5826.78,7017.73,7561.97,8789.63,9242.83
11,45,17,56,32,54,35,49,35,glen,3452.97,3895.71,5232.91,5954.08,7101.10,7688.15,8866.04,9370.86
12,45,18,52,32,53,36,47,36,bwdhwy,3953.35,4600.95,5657.57,6604.74,7534.04,8253.04,9330.37,9879.39
13,43,16,51,33,50,35,45,38,bwdhwy,4078.00,4726.00,5722.00,6661.51,7640.00,8358.00,9395.00,9975.00
14,41,18,51,32,49,35,46,38,nunawading,4654.23,5578.84,6386.36,7374.54,8242.30,8964.19,9848.20,10554.28
15,36,17,54,31,43,35,45,40,nunawading,4781.61,5706.31,6513.63,7500.49,8368.86,9091.39,9975.28,10681.49
16,31,16,49,32,38,38,41,38,,,,,,,,,
17,31,24,46,45,43,46,39,51,,,,,,,,,
18,27,24,45,45,40,43,37,47,,,,,,,,,
19,26,25,43,43,39,43,38,46,,,,,,,,,
20,23,24,42,41,38,42,37,45,,,,,,,,,
21,23,24,39,42,37,42,34,43,,,,,,,,,
22,21,23,36,38,35,44,29,42,,,,,,,,,
23,22,22,34,38,36,46,26,42,,,,,,,,,
24,22,22,32,38,30,48,25,41,,,,,,,,,
25,17,21,31,39,26,48,24,40,,,,,,,,,
26,15,23,23,42,24,47,23,36,,,,,,,,,
27,24,31,25,52,30,52,29,49,,,,,,,,,
28,22,29,24,52,26,52,28,50,,,,,,,,,
29,24,28,25,52,26,53,29,50,,,,,,,,,
30,24,28,25,52,24,54,30,49,,,,,,,,,
31,24,31,24,51,24,56,30,48,,,,,,,,,
32,21,31,22,47,27,55,28,48,,,,,,,,,
33,20,30,22,47,27,54,28,48,,,,,,,,,
34,20,30,20,45,26,55,26,49,,,,,,,,,
35,25,44,20,55,27,57,33,46,,,,,,,,,
36,27,47,21,51,26,55,32,46,,,,,,,,,
37,26,43,20,54,26,55,33,44,,,,,,,,,
38,28,45,20,56,27,53,30,43,,,,,,,,,
39,29,43,19,54,28,51,28,41,,,,,,,,,
40,29,44,18,51,27,45,26,41,,,,,,,,,
41,29,43,16,48,26,45,24,40,,,,,,,,,
42,29,43,16,47,26,44,23,37,,,,,,,,,
43,28,44,13,46,25,42,22,37,,,,,,,,,
44,29,45,14,43,27,44,21,35,,,,,,,,,
45,27,47,14,43,26,44,20,36,,,,,,,,,
46,33,70,28,55,31,51,27,44,,,,,,,,,
47,27,70,31,52,30,53,28,45,,,,,,,,,
48,25,68,29,48,31,52,28,43,,,,,,,,,
49,24,69,28,48,32,51,27,40,,,,,,,,,
50,23,67,28,45,31,49,27,41,,,,,,,,,
51,26,68,29,40,31,47,23,41,,,,,,,,,
52,28,69,28,39,31,46,23,41,,,,,,,,,
53,26,70,29,38,31,44,22,41,,,,,,,,,
54,38,70,59,43,37,48,26,42,,,,,,,,,
55,40,70,61,40,34,47,24,43,,,,,,,,,
56,39,70,60,40,31,46,24,42,,,,,,,,,
57,40,69,61,43,30,44,23,41,,,,,,,,,
58,40,69,61,39,27,38,23,38,,,,,,,,,
59,40,68,54,36,24,36,24,36,,,,,,,,,
60,37,69,47,36,23,34,24,30,,,,,,,,,
61,34,64,40,28,20,31,19,29,,,,,,,,,
62,31,54,35,21,18,26,18,20,,,,,,,,,
