0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.92,1997.79,3674.98,3802.41,5469.33,5597.94
1,60,11,66,0,64,1,67,0,chelsea,136.08,245.75,1996.16,2065.96,3800.68,3870.89,5595.87,5664.90
2,58,11,70,1,66,1,69,0,edithvale,301.27,417.96,2200.55,2290.77,3973.75,4070.06,5771.69,5879.29
3,58,10,70,7,66,2,68,3,edithvale,353.11,471.13,2267.06,2417.20,4026.00,4197.65,5836.84,6004.81
4,58,10,70,7,66,4,68,5,haileybury,1136.59,1205.15,3113.34,3202.19,4925.26,5004.70,6751.65,6868.94
5,59,12,70,26,67,21,68,21,haileybury,1203.08,1293.00,3200.16,3329.05,5002.75,5112.27,6866.98,6986.55
6,54,12,69,27,65,23,64,24,springvale,1937.04,1989.69,3913.34,4117.80,5700.90,5831.28,7605.67,7780.72
7,53,12,67,27,64,24,65,25,springvale,1987.94,2118.48,3999.75,4235.44,5829.20,5906.94,7681.62,7907.31
8,51,12,65,29,61,24,61,26,brandonpark,2412.22,2594.21,4454.94,4806.26,6393.10,6500.67,8136.21,8365.28
9,48,11,63,28,60,25,60,29,brandonpark,2537.00,2719.00,4579.00,4930.00,6496.00,6567.00,8219.00,8480.00
10,48,11,61,28,56,23,55,29,glen,3339.14,3508.44,5272.52,5697.54,7075.62,7184.47,8879.61,9075.93
11,47,12,59,28,54,23,52,29,glen,3471.65,3645.04,5390.62,5825.97,7172.68,7302.04,9006.06,9132.67
12,47,12,57,27,52,22,49,31,bwdhwy,3989.94,4474.58,5919.92,6390.09,7733.36,7861.53,9422.32,9585.09
13,45,12,57,29,49,22,47,31,bwdhwy,4117.00,4600.00,6045.00,6516.00,7857.00,7978.00,9517.00,9679.00
14,44,12,53,28,45,23,46,32,nunawading,4824.81,5456.14,6828.90,7153.78,8464.23,8592.52,10064.85,10193.93
15,41,11,52,27,41,22,46,34,nunawading,4951.78,5582.79,6956.95,7280.10,8590.47,8719.73,10191.85,10320.65
16,38,11,45,26,34,22,42,35,,,,,,,,,
17,40,19,48,47,35,28,47,46,,,,,,,,,
18,39,19,48,48,35,29,47,43,,,,,,,,,
19,36,17,47,47,36,30,41,40,,,,,,,,,
20,35,17,45,45,32,30,41,39,,,,,,,,,
21,32,19,44,46,32,28,39,43,,,,,,,,,
22,29,20,42,45,28,29,39,45,,,,,,,,,
23,28,18,41,46,25,28,37,46,,,,,,,,,
24,28,18,41,46,25,29,36,45,,,,,,,,,
25,26,15,42,41,23,30,33,43,,,,,,,,,
26,22,15,36,40,22,29,31,40,,,,,,,,,
27,25,27,40,47,33,32,32,36,,,,,,,,,
28,27,28,41,44,33,31,30,35,,,,,,,,,
29,26,28,40,41,34,33,30,34,,,,,,,,,
30,26,25,39,37,34,34,28,32,,,,,,,,,
31,25,26,38,39,32,33,31,30,,,,,,,,,
32,26,26,38,40,30,27,29,31,,,,,,,,,
33,24,26,37,39,29,27,29,30,,,,,,,,,
34,23,27,36,40,28,27,29,29,,,,,,,,,
35,37,39,44,55,36,33,31,38,,,,,,,,,
36,36,38,42,56,36,33,30,35,,,,,,,,,
37,36,40,40,56,36,32,29,34,,,,,,,,,
38,36,39,39,57,36,32,30,33,,,,,,,,,
39,34,39,39,58,36,33,29,33,,,,,,,,,
40,33,41,35,58,35,35,25,31,,,,,,,,,
41,33,41,37,58,34,35,26,30,,,,,,,,,
42,33,41,37,56,34,34,24,27,,,,,,,,,
43,33,45,36,53,32,33,24,26,,,,,,,,,
44,34,47,31,53,32,32,23,26,,,,,,,,,
45,31,46,28,51,30,28,25,26,,,,,,,,,
46,46,65,37,59,39,36,31,27,,,,,,,,,
47,45,66,36,58,40,32,32,26,,,,,,,,,
48,42,66,34,57,38,33,30,24,,,,,,,,,
49,42,66,36,58,38,34,26,23,,,,,,,,,
50,42,65,34,56,37,34,27,22,,,,,,,,,
51,42,60,35,52,35,34,27,21,,,,,,,,,
52,40,64,35,50,34,33,27,20,,,,,,,,,
53,42,69,36,47,34,30,27,19,,,,,,,,,
54,53,70,70,56,45,37,34,26,,,,,,,,,
55,52,70,70,66,45,35,35,24,,,,,,,,,
56,53,70,69,64,45,33,32,24,,,,,,,,,
57,52,69,68,64,43,33,29,24,,,,,,,,,
58,49,70,70,61,43,35,31,22,,,,,,,,,
59,43,69,62,60,43,35,30,22,,,,,,,,,
60,38,66,56,55,38,30,27,21,,,,,,,,,
61,32,56,47,47,33,27,22,20,,,,,,,,,
62,26,52,39,45,26,25,18,18,,,,,,,,,
