0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.70,1869.30,1998.49,3669.00,3797.39,5468.90,5597.07
1,63,10,70,4,63,0,66,0,chelsea,136.08,230.87,1996.81,2050.81,3795.34,3850.92,5594.70,5664.27
2,63,10,70,4,63,0,68,0,edithvale,347.61,400.89,2146.81,2235.83,3977.51,4032.26,5838.85,5892.76
3,62,10,70,6,62,1,68,0,edithvale,398.88,468.01,2213.99,2362.07,4030.21,4159.16,5891.05,6020.81
4,60,10,69,7,63,2,67,2,haileybury,1202.07,1270.29,3081.56,3373.92,4951.60,5004.47,6723.90,6792.59
5,58,16,70,31,62,16,67,16,haileybury,1268.44,1398.73,3177.80,3500.37,5002.22,5130.79,6790.51,6920.09
6,54,15,67,31,57,18,67,20,springvale,1947.98,2069.81,3869.08,4320.40,5702.42,5982.32,7560.69,7629.50
7,50,15,64,33,54,19,66,20,springvale,2035.04,2196.33,3924.86,4446.23,5753.87,6109.39,7627.41,7757.28
8,47,16,58,35,50,19,63,20,brandonpark,2493.27,2771.70,4413.95,5111.50,6220.64,6684.00,8027.97,8251.46
9,46,15,58,36,51,20,60,21,brandonpark,2557.00,2895.00,4479.00,5236.00,6294.00,6808.00,8091.00,8375.00
10,44,14,58,40,50,19,57,20,glen,3123.43,3839.91,5129.18,6068.78,6916.78,7702.55,8717.57,9053.67
11,45,15,58,46,49,20,56,20,glen,3232.04,3967.05,5225.96,6195.06,7043.61,7808.81,8784.97,9179.72
12,45,15,51,46,46,21,54,21,bwdhwy,3758.98,4674.61,5691.99,6867.23,7542.83,8250.18,9127.91,9615.96
13,41,15,47,49,45,26,52,20,bwdhwy,3884.00,4801.00,5768.00,6994.00,7668.00,8300.00,9242.00,9691.00
14,40,16,45,50,39,25,51,19,nunawading,4548.79,5599.72,6374.48,7584.84,8214.72,8918.85,9695.06,10239.27
15,37,17,43,50,38,25,49,17,nunawading,4675.00,5725.81,6501.42,7712.46,8341.81,9044.86,9821.75,10365.45
16,33,19,39,48,37,25,47,16,,,,,,,,,
17,33,32,40,65,37,42,45,31,,,,,,,,,
18,31,33,39,65,36,41,44,31,,,,,,,,,
19,30,32,37,63,33,38,43,31,,,,,,,,,
20,26,32,36,61,29,38,41,30,,,,,,,,,
21,25,31,35,62,26,38,39,29,,,,,,,,,
22,24,30,35,62,25,34,36,29,,,,,,,,,
23,21,29,35,61,23,35,35,28,,,,,,,,,
24,20,29,34,58,23,35,32,28,,,,,,,,,
25,17,30,32,56,21,35,28,25,,,,,,,,,
26,16,30,33,58,20,34,25,27,,,,,,,,,
27,23,41,38,66,21,43,27,39,,,,,,,,,
28,21,40,37,67,19,42,27,40,,,,,,,,,
29,21,40,36,65,17,42,25,40,,,,,,,,,
30,19,39,35,62,16,41,22,37,,,,,,,,,
31,19,36,32,59,17,39,20,36,,,,,,,,,
32,19,40,34,57,20,37,20,35,,,,,,,,,
33,18,41,30,57,21,34,18,35,,,,,,,,,
34,16,43,30,58,22,35,19,35,,,,,,,,,
35,22,70,37,69,27,43,23,47,,,,,,,,,
36,23,70,38,67,26,41,24,42,,,,,,,,,
37,25,68,39,68,26,40,23,43,,,,,,,,,
38,27,68,36,66,26,38,22,42,,,,,,,,,
39,28,64,34,68,25,37,20,41,,,,,,,,,
40,28,63,33,63,26,39,18,41,,,,,,,,,
41,27,60,32,62,25,34,19,38,,,,,,,,,
42,26,55,27,58,25,35,19,37,,,,,,,,,
43,23,55,25,58,24,33,18,35,,,,,,,,,
44,23,54,24,57,24,31,18,34,,,,,,,,,
45,22,58,23,54,22,29,15,36,,,,,,,,,
46,31,70,40,65,33,37,19,39,,,,,,,,,
47,29,70,40,61,32,38,19,37,,,,,,,,,
48,29,69,40,61,32,38,19,35,,,,,,,,,
49,31,64,38,57,30,38,18,34,,,,,,,,,
50,29,61,35,56,28,36,17,33,,,,,,,,,
51,29,64,31,54,27,36,16,31,,,,,,,,,
52,30,63,30,46,28,35,14,33,,,,,,,,,
53,31,64,30,41,26,33,13,32,,,,,,,,,
54,52,70,52,45,36,37,23,33,,,,,,,,,
55,49,68,52,43,34,38,25,31,,,,,,,,,
56,49,64,51,39,35,40,25,29,,,,,,,,,
57,49,62,49,37,37,39,26,29,,,,,,,,,
58,48,65,51,36,35,40,26,27,,,,,,,,,
59,48,64,48,33,32,40,24,25,,,,,,,,,
60,45,59,47,33,30,38,21,24,,,,,,,,,
61,39,50,40,24,28,32,20,19,,,,,,,,,
62,35,45,33,20,25,27,17,12,,,,,,,,,
